"lag","cause","exposure","analysis","exposure_change","central.est","ll.est","ul.est"
6,"All_violence","tmean","main",0,0,0,0
6,"All_violence","tmean","main",1,0.00513334269097536,0.00380133238618523,0.00646535299576549
6,"All_violence","tmean","main",5,0.0256667134548767,0.0190066619309261,0.0323267649788274
6,"All_violence","tmean","main",10,0.0513334269097535,0.0380133238618522,0.0646535299576549
6,"assault","tmean","main",0,0,0,0
6,"assault","tmean","main",1,0.00481456232560399,0.00347855793457177,0.0061505667166362
6,"assault","tmean","main",5,0.0240728116280199,0.0173927896728588,0.0307528335831809
6,"assault","tmean","main",10,0.0481456232560398,0.0347855793457177,0.061505667166362
6,"suicide","tmean","main",0,0,0,0
6,"suicide","tmean","main",1,0.00784548442834849,0.00133614800142266,0.0143548208552743
6,"suicide","tmean","main",5,0.0392274221417424,0.00668074000711329,0.0717741042763716
6,"suicide","tmean","main",10,0.0784548442834848,0.0133614800142267,0.143548208552743
6,"All_violence","tmean","females",0,0,0,0
6,"All_violence","tmean","females",1,0.00531099984914954,0.00354273872571452,0.00707926097258455
6,"All_violence","tmean","females",5,0.0265549992457476,0.0177136936285726,0.0353963048629227
6,"All_violence","tmean","females",10,0.0531099984914953,0.0354273872571452,0.0707926097258455
6,"assault","tmean","females",0,0,0,0
6,"assault","tmean","females",1,0.00496891596847536,0.00318953020319024,0.00674830173376047
6,"assault","tmean","females",5,0.0248445798423767,0.0159476510159512,0.0337415086688023
6,"assault","tmean","females",10,0.0496891596847535,0.0318953020319024,0.0674830173376046
6,"suicide","tmean","females",0,0,0,0
6,"suicide","tmean","females",1,0.0105303194556759,0.00232322059297642,0.0187374183183754
6,"suicide","tmean","females",5,0.0526515972783795,0.0116161029648821,0.0936870915918769
6,"suicide","tmean","females",10,0.105303194556759,0.0232322059297642,0.187374183183754
6,"All_violence","tmean","males",0,0,0,0
6,"All_violence","tmean","males",1,0.00489593565089597,0.0028738127798947,0.00691805852189725
6,"All_violence","tmean","males",5,0.0244796782544798,0.0143690638994735,0.0345902926094862
6,"All_violence","tmean","males",10,0.0489593565089597,0.028738127798947,0.0691805852189725
6,"assault","tmean","males",0,0,0,0
6,"assault","tmean","males",1,0.00460953551937824,0.00258995778819756,0.00662911325055892
6,"assault","tmean","males",5,0.0230476775968912,0.0129497889409878,0.0331455662527946
6,"assault","tmean","males",10,0.0460953551937824,0.0258995778819756,0.0662911325055892
6,"suicide","tmean","males",0,0,0,0
6,"suicide","tmean","males",1,0.00323997315287085,-0.00686554506437188,0.0133454913701136
6,"suicide","tmean","males",5,0.0161998657643543,-0.0343277253218593,0.066727456850568
6,"suicide","tmean","males",10,0.0323997315287086,-0.0686554506437187,0.133454913701136
6,"All_violence","tmean","0",0,0,0,0
6,"All_violence","tmean","0",1,0.00551881703419623,0.00413147343943768,0.00690616062895478
6,"All_violence","tmean","0",5,0.0275940851709811,0.0206573671971884,0.0345308031447738
6,"All_violence","tmean","0",10,0.0551881703419623,0.0413147343943768,0.0690616062895477
6,"assault","tmean","0",0,0,0,0
6,"assault","tmean","0",1,0.00518011185684521,0.00378717546003361,0.00657304825365681
6,"assault","tmean","0",5,0.025900559284226,0.018935877300168,0.032865241268284
6,"assault","tmean","0",10,0.051801118568452,0.037871754600336,0.0657304825365681
6,"suicide","tmean","0",0,0,0,0
6,"suicide","tmean","0",1,0.00761383070859596,0.00107494242278357,0.0141527189944083
6,"suicide","tmean","0",5,0.0380691535429798,0.00537471211391785,0.0707635949720418
6,"suicide","tmean","0",10,0.0761383070859596,0.0107494242278358,0.141527189944083
6,"All_violence","tmean","65",0,0,0,0
6,"All_violence","tmean","65",1,0.000575568282130208,-0.00397779754687824,0.00512893411113866
6,"All_violence","tmean","65",5,0.00287784141065104,-0.0198889877343912,0.0256446705556932
6,"All_violence","tmean","65",10,0.00575568282130208,-0.0397779754687823,0.0512893411113865
6,"assault","tmean","65",0,0,0,0
6,"assault","tmean","65",1,0.000601547008833314,-0.00391100608139049,0.00511410009905712
6,"assault","tmean","65",5,0.00300773504416657,-0.0195550304069524,0.0255705004952855
6,"assault","tmean","65",10,0.00601547008833313,-0.0391100608139048,0.0511410009905711
6,"suicide","tmean","65",0,0,0,0
6,"suicide","tmean","65",1,0.0253996724959692,-0.0247167348874374,0.0755160798793758
6,"suicide","tmean","65",5,0.126998362479846,-0.123583674437187,0.377580399396879
6,"suicide","tmean","65",10,0.253996724959691,-0.247167348874374,0.755160798793757
6,"All_violence","tmean","0_24",0,0,0,0
6,"All_violence","tmean","0_24",1,0.00478252108420015,0.00256155902986395,0.00700348313853635
6,"All_violence","tmean","0_24",5,0.0239126054210007,0.0128077951493197,0.0350174156926817
6,"All_violence","tmean","0_24",10,0.0478252108420015,0.0256155902986395,0.0700348313853634
6,"assault","tmean","0_24",0,0,0,0
6,"assault","tmean","0_24",1,0.00469257216312068,0.00245465818623279,0.00693048614000857
6,"assault","tmean","0_24",5,0.0234628608156034,0.012273290931164,0.0346524307000428
6,"assault","tmean","0_24",10,0.0469257216312068,0.0245465818623279,0.0693048614000857
6,"suicide","tmean","0_24",0,0,0,0
6,"suicide","tmean","0_24",1,0.00652077477512585,-0.00371966946820263,0.0167612190184543
6,"suicide","tmean","0_24",5,0.0326038738756292,-0.0185983473410132,0.0838060950922716
6,"suicide","tmean","0_24",10,0.0652077477512584,-0.0371966946820262,0.167612190184543
6,"All_violence","tmean","25_44",0,0,0,0
6,"All_violence","tmean","25_44",1,0.0062310211511084,0.00400294642269826,0.00845909587951855
6,"All_violence","tmean","25_44",5,0.031155105755542,0.0200147321134913,0.0422954793975927
6,"All_violence","tmean","25_44",10,0.062310211511084,0.0400294642269826,0.0845909587951854
6,"assault","tmean","25_44",0,0,0,0
6,"assault","tmean","25_44",1,0.00591345356466427,0.00367396553390579,0.00815294159542276
6,"assault","tmean","25_44",5,0.0295672678233213,0.0183698276695289,0.0407647079771137
6,"assault","tmean","25_44",10,0.0591345356466427,0.0367396553390578,0.0815294159542276
6,"suicide","tmean","25_44",0,0,0,0
6,"suicide","tmean","25_44",1,0.00673539066840947,-0.00310159504952035,0.0165723763863393
6,"suicide","tmean","25_44",5,0.0336769533420473,-0.0155079752476018,0.0828618819316964
6,"suicide","tmean","25_44",10,0.0673539066840947,-0.0310159504952034,0.165723763863393
6,"All_violence","tmean","45_64",0,0,0,0
6,"All_violence","tmean","45_64",1,0.00538238784340745,0.00252702374385387,0.00823775194296103
6,"All_violence","tmean","45_64",5,0.0269119392170372,0.0126351187192693,0.041188759714805
6,"All_violence","tmean","45_64",10,0.0538238784340745,0.0252702374385387,0.0823775194296102
6,"assault","tmean","45_64",0,0,0,0
6,"assault","tmean","45_64",1,0.00461488402323629,0.00176940805761711,0.00746035998885548
6,"assault","tmean","45_64",5,0.0230744201161814,0.00884704028808553,0.0373017999442773
6,"assault","tmean","45_64",10,0.0461488402323629,0.0176940805761711,0.0746035998885547
6,"suicide","tmean","45_64",0,0,0,0
6,"suicide","tmean","45_64",1,0.011646295674049,-0.00366584621400832,0.0269584375621064
6,"suicide","tmean","45_64",5,0.0582314783702453,-0.0183292310700415,0.134792187810532
