"lag","cause","exposure","analysis","exposure_change","central.est","ll.est","ul.est"
1,"All_violence","tmean","main",0,0,0,0
1,"All_violence","tmean","main",1,0.00424141709880757,0.00300624647428806,0.00547658772332709
1,"All_violence","tmean","main",5,0.0212070854940378,0.0150312323714403,0.0273829386166354
1,"All_violence","tmean","main",10,0.0424141709880757,0.0300624647428806,0.0547658772332708
1,"assault","tmean","main",0,0,0,0
1,"assault","tmean","main",1,0.0040340700804122,0.00279427282919417,0.00527386733163024
1,"assault","tmean","main",5,0.020170350402061,0.0139713641459708,0.0263693366581512
1,"assault","tmean","main",10,0.040340700804122,0.0279427282919416,0.0527386733163024
1,"suicide","tmean","main",0,0,0,0
1,"suicide","tmean","main",1,0.0111474669504292,0.00522703637320506,0.0170678975276534
1,"suicide","tmean","main",5,0.0557373347521461,0.0261351818660253,0.0853394876382669
1,"suicide","tmean","main",10,0.111474669504292,0.0522703637320505,0.170678975276534
1,"All_violence","tmean","females",0,0,0,0
1,"All_violence","tmean","females",1,0.00411933919812026,0.00247940414292817,0.00575927425331235
1,"All_violence","tmean","females",5,0.0205966959906013,0.0123970207146408,0.0287963712665617
1,"All_violence","tmean","females",10,0.0411933919812026,0.0247940414292817,0.0575927425331235
1,"assault","tmean","females",0,0,0,0
1,"assault","tmean","females",1,0.00408971896427612,0.00243793646954096,0.00574150145901128
1,"assault","tmean","females",5,0.0204485948213806,0.0121896823477048,0.0287075072950563
1,"assault","tmean","females",10,0.0408971896427612,0.0243793646954096,0.0574150145901127
1,"suicide","tmean","females",0,0,0,0
1,"suicide","tmean","females",1,0.00663045072274154,-0.00079442472441515,0.0140553261698982
1,"suicide","tmean","females",5,0.0331522536137077,-0.00397212362207577,0.0702766308494912
1,"suicide","tmean","females",10,0.0663045072274154,-0.00794424724415152,0.140553261698982
1,"All_violence","tmean","males",0,0,0,0
1,"All_violence","tmean","males",1,0.00439599150181212,0.00252126064459334,0.0062707223590309
1,"All_violence","tmean","males",5,0.0219799575090605,0.0126063032229667,0.0313536117951544
