lag,cause,exposure,analysis,exposure_change,central.est,ll.est,ul.est
1,All_violence,tmean,main,5,2.10%,1.50%,2.70%
1,assault,tmean,main,5,2.00%,1.40%,2.60%
1,suicide,tmean,main,5,5.60%,2.60%,8.50%
1,All_violence,tmean,females,5,2.10%,1.20%,2.90%
1,assault,tmean,females,5,2.00%,1.20%,2.90%
1,suicide,tmean,females,5,3.30%,-0.40%,7.00%
1,All_violence,tmean,males,5,2.20%,1.30%,3.10%
1,assault,tmean,males,5,2.00%,1.00%,2.90%
1,suicide,tmean,males,5,9.00%,4.40%,13.60%
1,All_violence,tmean,0_24,5,2.40%,1.40%,3.40%
1,assault,tmean,0_24,5,2.20%,1.20%,3.30%
1,suicide,tmean,0_24,5,7.70%,3.00%,12.40%
1,All_violence,tmean,25_44,5,1.80%,0.80%,2.80%
1,assault,tmean,25_44,5,1.80%,0.80%,2.80%
1,suicide,tmean,25_44,5,2.40%,-2.10%,6.80%
1,All_violence,tmean,45_64,5,2.20%,0.90%,3.50%
1,assault,tmean,45_64,5,2.10%,0.70%,3.40%
1,suicide,tmean,45_64,5,9.30%,2.20%,16.30%
1,All_violence,tmean,northeast,5,1.30%,0.10%,2.40%
1,assault,tmean,northeast,5,1.30%,0.10%,2.50%
1,suicide,tmean,northeast,5,3.50%,-2.40%,9.40%
1,All_violence,tmean,northern_rockies_and_plains,5,2.80%,0.10%,5.50%
1,assault,tmean,northern_rockies_and_plains,5,2.90%,0.20%,5.60%
1,suicide,tmean,northern_rockies_and_plains,5,8.40%,-10.10%,26.90%
1,All_violence,tmean,northwest,5,-2.80%,-6.70%,1.20%
1,assault,tmean,northwest,5,-2.30%,-6.20%,1.60%
1,suicide,tmean,northwest,5,-22.70%,-49.90%,4.40%
1,All_violence,tmean,ohio_valley,5,2.30%,1.30%,3.20%
1,assault,tmean,ohio_valley,5,2.20%,1.20%,3.10%
1,suicide,tmean,ohio_valley,5,5.70%,0.90%,10.50%
1,All_violence,tmean,south,5,1.20%,-0.20%,2.50%
1,assault,tmean,south,5,1.30%,-0.10%,2.60%
1,suicide,tmean,south,5,-1.20%,-7.50%,5.00%
1,All_violence,tmean,southeast,5,2.00%,1.00%,3.00%
1,assault,tmean,southeast,5,1.70%,0.70%,2.70%
1,suicide,tmean,southeast,5,3.90%,0.50%,7.30%
