model,AIC,variable
aic.mod.freq.linear.temp,981191.4092812422,tmean
aic.mod.freq.spline.3deg,981194.0724371284,tmean
aic.mod.freq.spline.4deg,981196.0613664592,tmean
aic.mod.freq.dnlm.var1.lag2,981225.604954839,tmean
aic.mod.freq.dnlm.var1.lag3,981201.990892757,tmean
aic.mod.freq.dnlm.var1.lag4,981200.611992815,tmean
aic.mod.freq.dnlm.var1.lag5,981197.9709726219,tmean
aic.mod.freq.dnlm.var1.lag6,981197.2836920205,tmean
aic.mod.freq.dnlm.var2.lag2,981225.5810741044,tmean
aic.mod.freq.dnlm.var2.lag3,981204.5054086047,tmean
aic.mod.freq.dnlm.var2.lag4,981205.1283566456,tmean
aic.mod.freq.dnlm.var2.lag5,981204.4513368045,tmean
aic.mod.freq.dnlm.var2.lag6,981201.8647978798,tmean
aic.mod.freq.dnlm.var3.lag2,981226.7735249314,tmean
aic.mod.freq.dnlm.var3.lag3,981206.7617825706,tmean
aic.mod.freq.dnlm.var3.lag4,981207.9652025577,tmean
aic.mod.freq.dnlm.var3.lag5,981209.291008373,tmean
aic.mod.freq.dnlm.var3.lag6,981208.5305769172,tmean
aic.mod.freq.dnlm.var4.lag2,981225.6838293895,tmean
aic.mod.freq.dnlm.var4.lag3,981206.4437158698,tmean
aic.mod.freq.dnlm.var4.lag4,981209.3515725065,tmean
aic.mod.freq.dnlm.var4.lag5,981211.6805908041,tmean
aic.mod.freq.dnlm.var4.lag6,981212.7497686511,tmean
