model,AIC,variable
aic.mod.freq.linear.temp,981205.0067396023,wbgtmax
aic.mod.freq.spline.3deg,981208.0971657638,wbgtmax
aic.mod.freq.spline.4deg,981209.2630503405,wbgtmax
aic.mod.freq.dnlm.var1.lag2,981230.7281344553,wbgtmax
aic.mod.freq.dnlm.var1.lag3,981212.4869322451,wbgtmax
aic.mod.freq.dnlm.var1.lag4,981211.8248913113,wbgtmax
aic.mod.freq.dnlm.var1.lag5,981211.7189240684,wbgtmax
aic.mod.freq.dnlm.var1.lag6,981211.5280252744,wbgtmax
aic.mod.freq.dnlm.var2.lag2,981233.4957318453,wbgtmax
aic.mod.freq.dnlm.var2.lag3,981216.3468787784,wbgtmax
aic.mod.freq.dnlm.var2.lag4,981217.3917445918,wbgtmax
aic.mod.freq.dnlm.var2.lag5,981218.8132754206,wbgtmax
aic.mod.freq.dnlm.var2.lag6,981216.9712557077,wbgtmax
aic.mod.freq.dnlm.var3.lag2,981235.9351165572,wbgtmax
aic.mod.freq.dnlm.var3.lag3,981220.5231453965,wbgtmax
aic.mod.freq.dnlm.var3.lag4,981223.1816023008,wbgtmax
aic.mod.freq.dnlm.var3.lag5,981225.765555691,wbgtmax
aic.mod.freq.dnlm.var3.lag6,981220.0259842941,wbgtmax
aic.mod.freq.dnlm.var4.lag2,981231.7966734881,wbgtmax
aic.mod.freq.dnlm.var4.lag3,981216.8775280453,wbgtmax
aic.mod.freq.dnlm.var4.lag4,981221.2108905587,wbgtmax
aic.mod.freq.dnlm.var4.lag5,981224.0340500122,wbgtmax
aic.mod.freq.dnlm.var4.lag6,981217.8138592679,wbgtmax
